text	translation
Casette Player not equipped	Кассетный плеер не надет
Casette Player power 0%, recharge player	Кассетный плеер разряжен 0%, зарядите плеер
Casette Player empty, insert casette	Кассетный плеер пуст, вставьте кассету
Override Ambient Music [ON]	Заглушить фоновую музыку [ВКЛ]
Override Ambient Music [OFF]	Заглушить фоновую музыку [ВЫКЛ]
Sleep	Спать
Level 2	Уровень 2
Level 3	Уровень 3
Level 4	Уровень 4
Level 5	Уровень 5
Heat required	Требуется источник тепла
Workbench required	Требуется верстак
Shelter required	Требуется укрытие
Start Input	Начать загрузку
Stop Input	Остановить загрузку
Reset Input	Сбросить загрузку
Start Delivery	Начать доставку
Stop Delivery	Остановить доставку
Delivered	Доставлено
CBRN	РХБЯ
Overweight	Перегрузка
Explosion	Взрыв
Fall	Падение
Day	День
Common	Обычный
Rare	Редкий
Legendary	Легендарный
Armor Plate	Бронепластина
Armor	Броня
Armor Plate {class}	Бронепластина {class}
Armor Plate (II)	Бронепластина (II)
Armor Plate (III+)	Бронепластина (III+)
Armor Plate (III)	Бронепластина (III)
Armor Plate (IIIA)	Бронепластина (IIIA)
Armor Plate (IV)	Бронепластина (IV)
Backpack	Рюкзак
Jääkäri Backpack (Black)	Рюкзак Jääkäri (чёрный)
Jääkäri BP.	Рюкз. Jääkäri.
Jääkäri Backpack (Brown)	Рюкзак Jääkäri (коричневый)
Jääkäri Backpack (Green)	Рюкзак Jääkäri (зелёный)
Jääkäri Backpack (M05)	Рюкзак Jääkäri (M05)
Nomad Backpack	Рюкзак Nomad
Nomad BP.	Рюкз. Nomad.
Patrol Backpack	Патрульный рюкзак
Patrol BP.	Патр. рюкз.
Duffel (Retro)	Дорожная сумка (ретро)
R. Duffel	Рет. сумка
Belt Pouch	Поясная сумка
Kukkaro (Black)	Kukkaro (чёрный)
Kukkaro	Kukkaro
Kukkaro (Brown)	Kukkaro (коричневый)
Kukkaro (Green)	Kukkaro (зелёный)
Kukkaro (M05)	Kukkaro (M05)
Literature	Литература
Book (Children)	Книга (детская)
Children	Детская
Book (Cooking)	Книга (кулинарная)
Cooking	Кулинария
Book (Fishing)	Книга (рыбалка)
Book (Religion)	Книга (религия)
Religion	Религия
Clothing	Одежда
Flame Beanie	Шапка Flame
F. Beanie	Шапка F
Combat Boots	Берцы
C. Boots	Берцы C
M62 Cap	Кепка M62
Tactical Fleece (Brown)	Тактический флис (коричневый)
T. Fleece	Такт. флис
Tactical Fleece (Green)	Тактический флис (зелёный)
Leather Gloves	Кожаные перчатки
L. Gloves	Кож. перч
Work Gloves	Рабочие перчатки
W. Gloves	Раб. перч
Mosquito Hat	Шляпа от комаров
M. Hat	Шляпа M
Sauna Hat	Банная шапка
S. Hat	Шапка S
Hoodie (Border Zone)	Худи (Border Zone)
Hoodie BZ.	Худи BZ.
Hoodie B.	Худи B.
Hoodie (Gray)	Худи (серое)
Hoodie	Худи
M62 Jacket	Куртка M62
M62 J.	Куртка M62.
Santa Jacket	Куртка Санты
Santa J.	Куртка С.
Winter Jacket (Blue)	Зимняя куртка (синяя)
Winter Jacket	Зимняя куртка
Winter Jacket (Red)	Зимняя куртка (красная)
Winter J.	Зим. куртка.
Jeans (Black)	Джинсы (чёрные)
Jeans	Джинсы
Hiking Pants	Треккинговые штаны
Hiking P.	Трек. штаны.
Windbreaker (Black)	Ветровка (чёрная)
Windbreaker	Ветровка
Windbr.	Ветровка.
Windbreaker (Green)	Ветровка (зелёная)
Consumables	Расходники
Consumable	Расходник
Drink	Выпить
Eat	Съесть
Eat Raw	Съесть сырым
Eat (Raw)	Съесть (сырым)
Chew	Жевать
Smoke	Курить
Use	Использовать
Beer	Пиво
Empty Can	Пустая банка
Can	Банка
Canned Meat	Мясные консервы
Meat	Мясо
Canned Meatballs	Консервированные фрикадельки
Meatballs	Фрикадельки
Canned Pea Soup	Консервированный гороховый суп
Pea Soup	Гороховый суп
Canned Peaches	Консервированные персики
Peaches	Персики
Canned Pear	Консервированная груша
Pear	Груша
Canned Peas	Консервированный горох
Peas	Горох
Canned Pineapple	Консервированный ананас
Pineapple	Ананас
Canned Tomatoes	Консервированные томаты
Tomatoes	Томаты
Canned Tuna	Консервированный тунец
Tuna	Тунец
Cat Food	Кошачий корм
War Chocolate	Военный шоколад
W. Choco	Воен. шокол
Cigarettes	Сигареты
Cigs	Сигар
Cigars	Сигары
Coffee	Кофе
Coffee (Brewed)	Кофе (заваренный)
C. Brewed	Кофе завар
Fish Soup (Cooked)	Рыбный суп (приготовленный)
F. Soup (Cooked)	Рыб. суп (пригот.)
F. Soup	Рыб. суп
Meatballs (Cooked)	Фрикадельки (приготовленные)
M. Balls (Cooked)	Фрикад. (пригот.)
M. Balls	Фрикадельки
Pea Soup (Cooked)	Гороховый суп (приготовленный)
P. Soup (Cooked)	Горох. суп (пригот.)
P. Soup	Горох. суп
Tomato Soup (Cooked)	Томатный суп (приготовленный)
T. Soup (Cooked)	Томат. суп (пригот.)
T. Soup	Томат. суп
Crackers	Крекеры
Energy Drink	Энергетик
E. Drink	Энерг
Energy Powder	Энергетический порошок
E. Powder	Энерг. порошок
Field Ration	Полевой паёк
F. Ration	Пол. паёк
Juice	Сок
Juice (Orange)	Сок (апельсиновый)
Juice O.	Сок апельс.
Juice (Pear)	Сок (грушевый)
Juice P.	Сок груш.
Juice (Raspberry)	Сок (малиновый)
Juice R.	Сок малин.
Kilju	Kilju
Kompot	Компот
Mustard	Горчица
Peanuts	Арахис
Potato	Картофель
Salty Liquorice	Солёная лакрица
Salty Liq.	Сол. лакрица.
Snus	Снюс
Soda (Lemon)	Газировка (лимонная)
Soda	Газировка
Soda L.	Газир. лим.
Sugar	Сахар
Water Bottle	Бутылка воды
Water	Вода
Yeast	Дрожжи
Electronics	Электроника
Alarm Clock	Будильник
A. Clock	Будильник
Batteries	Батарейки
Battery	Батарейка
Battery Cables	Провода аккумулятора
B. Cables	Провода акк
Casette	Кассета
Casette (Electrofolk)	Кассета (электрофолк)
Junna - Haavakko	Junna - Haavakko
Junna - Lempi	Junna - Lempi
Junna - Mistä Sä Tiesit Tulla	Junna - Mistä Sä Tiesit Tulla
Junna - Mukula	Junna - Mukula
Junna - Pappa Se Antoi Hevosen	Junna - Pappa Se Antoi Hevosen
Junna - Rautahepo	Junna - Rautahepo
Junna - Ruslana	Junna - Ruslana
Junna - Vandringsman	Junna - Vandringsman
Casette (Nomad)	Кассета (Nomad)
Casette (OST)	Кассета (OST)
OST - Alive	OST - Alive
OST - Daybreak	OST - Daybreak
OST - Far	OST - Far
OST - Lost	OST - Lost
OST - Rain	OST - Rain
OST - Road	OST - Road
OST - Trailer	OST - Trailer
OST - Winds	OST - Winds
Casette (Radio Hits)	Кассета (радиохиты)
Casette (Symphony)	Кассета (симфония)
Vostok Symphony	Vostok Symphony
Casette Player	Кассетный плеер
C. Player	Касс. плеер
Coffeemaster	Кофемашина
C. Master	Кофемаш
Cooking Station	Кухонная станция
C. Station	Кух. станция
Hotplate	Электроплитка
Inverter	Инвертор
Narva	Narva
Polaris	Polaris
Fish	Рыба
Fishing	Рыбалка
Bream	Лещ
Fishing Rod	Удочка
F. Rod	Удочка
Perch	Окунь
Pike	Щука
Roach	Плотва
Grenade	Граната
Helmet	Шлем
Police Helmet (IIIA)	Полицейский шлем (IIIA)
Police Helmet	Полицейский шлем
P. Helmet	Пол. шлем
Instrument	Инструмент
Guitar	Гитара
Harmonica	Губная гармошка
Harmo.	Гармошка.
Key	Ключ
Attic Key	Ключ от чердака
Attic K.	Ключ черд.
Bunker Key	Ключ от бункера
Bunker K.	Ключ бункера.
Cellar Key	Ключ от подвала
Cellar K.	Ключ подвала.
Classroom Key	Ключ от класса
Class. K.	Ключ класса.
Gymnasium Key	Ключ от спортзала
Gym. K.	Ключ спортз.
Tunnel Key	Ключ от тоннеля
Tunnel K.	Ключ тоннеля.
Knife	Нож
Jaeger 140	Jaeger 140
Jaeger	Jaeger
Skrama 200	Skrama 200
Skrama	Skrama
Skrama 240	Skrama 240
Lore	Лор
Cat	Кот
Oil Sample	Образец масла
Oil S.	Образец м.
Patient Report	Карта пациента
P. Report	Карта пац
Heal	Лечить
Spray	Распылить
Medical	Медицинский
Antibiotics	Антибиотики
Antibio.	Антибиот.
Antiseptic	Антисептик
A. Septic	Антисептик
Balm	Бальзам
Bandage	Бинт
Bandage (Improvised)	Бинт (самодельный)
Cold Medicine	Лекарство от простуды
C. Med.	Лек. от прост.
Deodorant	Дезодорант
Deodora.	Дезодор.
Gum	Жвачка
Lotion	Лосьон
Medkit	Медаптечка
Melatonin	Мелатонин
Melaton.	Мелатонин.
Painkill.	Обезбол.
Saline	Физраствор
Splint	Шина
Splint (Improvised)	Шина (самодельная)
Thermal Blanket	Термоодеяло
Thermal	Термо
Tissues	Салфетки
Sneeze	Чихнуть
Tourniquet	Жгут
Tourni.	Жгут.
Tourniquet (Improvised)	Жгут (самодельный)
Wipes	Влажные салфетки
Wipe	Салфетка
Misc	Разное
Blanket	Одеяло
Board Game	Настольная игра
B. Game	Наст. игра
Bucket	Ведро
Coffee Filter	Кофейный фильтр
C. Filter	Кофе. фильтр
Duct Tape	Скотч
D. Tape	Скотч
Happy Stove	Happy Stove
H. Stove	H. Stove
Jerry Can	Канистра
Jerry C.	Канистра.
Lumber	Пиломатериалы
Map	Карта
Map (Tactical)	Карта (тактическая)
T. Map	Такт. карта
Matches	Спички
Mat.	Спич.
Mattress	Матрас
Mess Kit	Котелок
Nails	Гвозди
Oil Filter	Масляный фильтр
O. Filter	Масл. фильтр
Pillow	Подушка
Rags	Тряпки
Sleeping_Bag	Спальный_мешок
Sleeping Bag	Спальный мешок
S. Bag	Сп. мешок
Sticks	Ветки
Tackle Box	Ящик для снастей
Tackle B.	Ящик снастей.
Toilet Paper	Туалетная бумага
T. Paper	Туал. бумага
Toolbox	Ящик с инструментами
Water Lock	Водяной замок
W. Lock	Вод. замок
Weapon Repair Kit	Ремкомплект оружия
Repair Kit	Ремкомплект
Rig	Разгрузка
LVPC (Green)	LVPC (зелёный)
LVPC (Winter)	LVPC (зимний)
Fishing Vest	Рыболовный жилет
F. Vest	Рыб. жилет
Weapon	Оружие
Mag.	Магаз.
KA-12 Magazine	Магазин KA-12
KA-M Magazine	Магазин KA-M
KAS-74U Magazine	Магазин KAS-74U
C1911 Magazine	Магазин C1911
G7 Magazine	Магазин G7
KAR-21 Magazine (.223)	Магазин KAR-21 (.223)
KAR-21 Magazine (.308)	Магазин KAR-21 (.308)
KAR-21 Barrel (.308)	Ствол KAR-21 (.308)
KAR-21 Barrel	Ствол KAR-21
Barrel	Ствол
KP-31 Drum	Барабан KP-31
Drum	Барабан
STANAG Magazine	Магазин STANAG
M78 Magazine	Магазин M78
Karov	Karov
Karov Magazine	Магазин Karov
Mosin	Mosin
PM5 Magazine	Магазин PM5
MP7 Magazine	Магазин MP7
P3 Magazine	Магазин P3
RK Magazine	Магазин RK
VSD Magazine	Магазин VSD
SS Magazine	Магазин SS
Ammo	Патроны
Attachment	Обвес
Hybrid	Hybrid
Kobra	Kobra
Leopard	Leopard
Micro	Micro
Monster	Monster
Thor	Thor
Compatibility	Совместимость
Selected	Выбранные
Press key to bind...	Нажмите клавишу для привязки...
Forward	Вперед
Backward	Назад
Left	Слева
Right	Верно
Crouch	Приседание
Jump	Перейти
Sprint	Спринт
Lean Left	Немного влево
Lean Right	Наклониться вправо
Draw Primary	Нарисовать основной
Draw Secondary	Нарисовать второстепенный
Draw Knife	Нож для строгания
Draw Grenade 1	Нарисовать гранату 1
Draw Grenade 2	Нарисовать гранату 2
Raise Weapon	Поднять оружие
Lower Weapon	Нижнее оружие
Aim	Цель
Canted Aim	Наклонная прицельная линия
Fire	Пожар
Reload	Обновить
Ammo Check	Проверка боеприпасов
Firemode	Режим пожара
Inspect Weapon	Проверить оружие
Prepare Insert	Подготовить вставку
Insert Cartridge	Вставить картридж
Interact	Взаимодействовать
Place	Место
Decor Mode	Режим «Декор»
Flashlight	Фонарик
NVG	NVG
Laser	Лазер
Rail Movement	Движение по железной дороге
Secondary Optic	Вторичная оптика
Interface	Интерфейс
Rotate Item	Повернуть элемент
Fast Transfer	Быстрая передача
Fast Equip	Быстрое снаряжение
Fast Drop	Быстрое падение
Left Mouse Button	Левая кнопка мыши
Right Mouse Button	Правая кнопка мыши
Middle Mouse Button	Средняя кнопка мыши
Mouse Wheel Up	Прокрутка колесика мыши вверх
Mouse Wheel Down	Прокрутка колесика мыши вниз
Mouse Thumb Button 1	Кнопка 1 на большом пальце мыши
Mouse Thumb Button 2	Вторая кнопка на мыши
UI Scaling	Масштабирование интерфейса
Loading...	Загрузка...
Skip Intro [SPACE]	Пропустить вступление [ПРОБЕЛ]
All save files deleted	Все файлы сохранений удалены
Character died	Персонаж умер
Menu	Меню
Intro	Вступление
Tutorial	Учебное пособие
Tutorial Exit	Выйти из обучения
Death	Смерть
Template	Шаблон
shaders	шейдеры
Shelter	Укрытие
Cabin	Убежище
Attic	Чердак
Classroom	Класс
Tent	Палатка
Bunker	Бункер
Area 05	Зона 05
Village	Деревня
Highway	Шоссе
School	Школа
Border Zone	Пограничная зона
Outpost	Аванпост
Minefield	Минное поле
Vostok	Vostok
Apartments	Жилые комплексы
Terminal	Терминал
Trader	Торговец
Generalist	Универсал
Doctor	Доктор
Gunsmith	Оружейник
Driver	Водитель
Grandma	Бабуля
Shaman	Шаман
Fisherman	Рыбак
Scientist	Учёный
Bandit	Бандит
Guards	Охрана
Military	Армия
Punisher	Каратель
Neutral	Нейтральный
Overcast	Пасмурно
Rain	Дождь
Storm	Шторм
Generic	Обычный
Wood	Древесина
Metal	Металл
Concrete	Бетон
Rock	Камень
New Furniture Added [Catalog]	Добавлена новая мебель [Каталог]
Boss Killed	Босс убит
Cat Rescued	Кошка спасена
Cat Vital Activated	Показатели кота активированы
Cat Died	Кошка умерла
You have been spotted!	Вас заметили!
Player Returned	Игрок возвращён
Indoors	Внутри
Indoor	В помещении
Mine	Шахта
Lure	Приманка
(Military)	(Военное)
Unload	Разгрузить
Clear Chamber	Очистить патронник
Unequip	Убрать
Equip	Экипировать
Show	Показать
Hide	Скрыть
Activated	Активировано
Not active	Неактивно
All maps & zones	Все карты и зоны
Active	Активно
Repair	Починить
Craft	Изготовить
Added	Добавлено
Remove	Убрать
Completed	Завершено
Add to Notes	Добавить в Заметки
Frozen	Заморожена
Permadeath Zone	Зона безвозвратной потери
[Open]	[Открыть]
Door [Jammed]	Дверь [Заклинило]
Door [Occupied]	Дверь [Занято]
Door [Close]	Дверь [Закрыть]
Door [Open]	Дверь [Откр.]
Sleep (Random sleep: 6-12h)	Поспать (Случайная длительность: 6–12 ч.)
Turn Off	Выключить
Turn On	Включить
Radio [Turn Off]	Радио [Выкл.]
Radio [Turn On]	Радио [Вкл.]
Television [Turn Off]	Телевизор [Выкл.]
Television [Turn On]	Телевизор [Вкл.]
Rescue Cat	Кошка-спасательница
Cat is eating, do not disturb	Кошка ест, не беспокоить
Fuel Tank [89%]	Бак [89%]
Feed cat:	Покормить кошку:
Easy	Лёгкий
Intermediate	Средний
Hard	Сложный
Tutorial Task 1 (Simple)	Обучающее задание 1 (простое)
"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	"Начнём с чего-нибудь простого.

Подойди к стенду с предметами и возьми консервированный гороховый суп. Когда предмет доставки окажется в твоём инвентаре:
1. Нажми «Начать доставку»
2. Выбери консервированный гороховый суп
3. Нажми «Завершить»"
Tutorial Task 2 (Complex)	Обучающее задание 2 (сложное)
"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	"Теперь усложним задачу.

Некоторые задания могут требовать предметов доставки, полученных через крафт. Например, это задание требует Тефтелей (приготовленных), которые можно получить только путём крафта.

Подойди к стенду с предметами и возьми Консервированные тефтели, Котелок и Бутылку воды. Тебе также понадобятся спички — их можно найти на стенде с оборудованием.

Затем найди рецепт Тефтелей (приготовленных) в интерфейсе инструментов, нажав кнопку «Крафт». Посмотрев на рецепт, ты увидишь условие близости — Тепло, то есть тебе понадобится источник тепла, чтобы разблокировать этот рецепт.

Чтобы приготовить Тефтели (приготовленные), сделай следующее:
1. Подойди к Горелке, возьми спички и разожги огонь
2. Открой рецепт Тефтелей (приготовленных) и заметь, что символ тепла стал зелёным
3. Нажми «Начать загрузку»
4. Выбери Котелок, Консервированные тефтели и Бутылку воды
5. Нажми «Создать»

Теперь ты успешно создал необходимый предмет задания и можешь выполнить задание."
Tutorial Task 3 (Furniture)	Обучающее задание 3 (мебель)
