WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments	max_length
HUD	Electronics	String	0	0	0	0	0	substr	Scripts/Radio	gd			gameData.tooltip	literal		64	Radio [Turn On]	라디오 [끄기]			
HUD	Electronics	String	0	0	0	0	0	substr	Scripts/Television	gd			gameData.tooltip	literal		27	Television [Turn Off]	텔레비전 [끄기]			
HUD	Electronics	String	0	0	0	0	0	substr	Scripts/Television	gd			gameData.tooltip	literal		29	Television [Turn On]	텔레비전 [끄기]			
HUD	Cat	String	0	0	0	0	0	substr	Scripts/CatRescue	gd			gameData.tooltip	literal		35	Rescue Cat	고양이 구출			
HUD	Cat	String	0	0	0	0	0	substr	Scripts/CatFeeder	gd			gameData.tooltip	literal		55	Cat is eating, do not disturb	고양이는 밥을 먹고있습니다. 귀찮게 하지 말아주세요.			
HUD	Cat	String	0	0	0	0	1	ignore	Scripts/CatFeeder	gd			gameData.tooltip	concat		57	Feed cat:\n[{CreateFeedString}]	고양이에게 먹이 주기:\n[{CreateFeedString}]			
HUD		String	0	0	0	0	0	substr	Scripts/Fuel	gd			gameData.tooltip	literal		11	Fuel Tank [89%]	연료 탱크 [89%]	Maybe not updated yet (hard-coded)		
HUD		String	0	0	0	0	0	pattern									Fuel Tank [{percent}%]	연료 탱크 [{percent}%]	Maybe not updated yet (hard-coded)		
HUD	Cat	String	0	0	0	0	0	substr									Feed cat:	고양이에게 먹이 주기:			
Furniture	Furniture	String	0	0	0	0	0	pattern	Scripts/Item	gd			amount.text	concat		405	Items: {str}	아이템: {str}			
